profile_ign,primary_role,primary_role_games,primary_role_winrate,secondary_role,secondary_role_games,secondary_role_winrate,rank_score
Harry Patterson#Fin,Mid,480,48.96%,Bot,249,47.39%,26.0
lsoDidact#NA1,Top,335,52.24%,Jungle,104,52.88%,27.0
Bound#WVU1,Support,353,52.69%,Jungle,306,49.35%,27.0
FunnyyButton#NA123,Bot,177,58.76%,Top,132,42.42%,28.0
The Fool#URMAM,Jungle,547,51.37%,Mid,142,46.48%,28.0
Monturkey#9268,Jungle,741,52.09%,Top,50,52.00%,28.0
notal#8836,Jungle,155,56.77%,Mid,70,52.86%,28.0
bubbles101012#NA1,Mid,710,53.66%,Bot,236,51.27%,28.0
GumbaStomp69#NA1,Bot,644,52.48%,Support,74,43.24%,28.0
GAMER DESTROYER#LLT,Support,589,49.24%,Bot,193,51.30%,29.0
BigBootyBarrels#Bomba,Top,426,52.35%,Jungle,184,47.28%,29.0
Gamer Destroyer#dump,Support,359,51.25%,Bot,248,45.56%,29.0
CCswift#NA1,Top,722,50.97%,Jungle,173,56.07%,31.0
The World#URDAD,Top,982,49.69%,Jungle,455,50.11%,31.0
I ROAR YOU BOW#VAHIR,Top,87,45.98%,Jungle,37,56.76%,31.0
Bhrisy#NA69,Top,213,46.01%,Support,208,56.73%,31.0
Barretel#Shaco,Jungle,293,54.27%,Top,121,52.89%,31.0
OWLBIRD#NA1,Mid,189,47.09%,Top,77,49.35%,32.0
Stran#NA1,Bot,304,49.34%,Mid,33,48.48%,32.0
DESTROYXXXXL#NA1,Top,220,52.73%,Mid,200,47.00%,32.0
kybcat#7796,Bot,279,51.61%,Top,163,50.31%,32.0
Team Curse #NA1,Support,499,47.90%,Top,108,54.63%,32.0
Railleyacil#79810,Top,9,55.56%,Jungle,1,0.00%,33.0
Darkll#1024,Mid,353,50.42%,Bot,102,48.04%,33.0
maxwell#CAN,Mid,607,53.05%,Bot,64,51.56%,33.0
Yujii#juju,Mid,289,44.98%,Support,107,50.47%,33.0
Encry#ssj3,Jungle,474,53.16%,Top,260,49.23%,33.0
verylastnerve#nerve,Top,474,50.84%,Jungle,158,54.43%,33.0
dont ever stop#NA1,Jungle,637,53.06%,Mid,187,43.32%,33.0
MiHughJanis#HUGH,Top,250,58.40%,Jungle,76,50.00%,34.0
neo#1447,Mid,866,48.96%,Top,109,43.12%,35.0
Geekèé#0001,Bot,247,52.23%,Support,192,52.60%,35.0
jun#9845,Support,729,52.95%,Jungle,87,45.98%,35.0
NemakuNa#NA1,Support,321,49.84%,Mid,68,47.06%,35.0
TryingToVibe#NA1,Support,88,52.27%,Bot,7,14.29%,35.0
Isolation#1909,Bot,1443,50.17%,Jungle,147,54.42%,35.0
Placid4U TTV#NA1,Support,783,49.81%,Bot,47,40.43%,35.0
The Moon#urbro,Jungle,388,52.06%,Top,189,47.62%,35.0
Harbinger#115,Top,323,48.61%,Jungle,193,48.70%,36.0
Atamaex#NA1,Mid,119,57.98%,Top,58,60.34%,36.0
OkNowImTilted#Aim,Top,642,51.25%,Mid,404,47.52%,36.0
nerf season#lord,Mid,272,46.69%,Top,189,51.85%,36.0
callmeid#SNIP,Top,407,51.35%,Jungle,146,48.63%,37.0
scardeo#NA1,Top,448,48.44%,Jungle,117,52.14%,37.0
SwooshWRLD#0334,Mid,569,51.14%,Jungle,416,50.24%,37.0
goku2057#NA1,Support,353,49.86%,Jungle,229,51.09%,38.0
Row#RowX,Support,884,50.90%,Jungle,551,47.01%,38.0
Tiger58#SDC,Support,516,49.22%,Mid,97,51.55%,39.0
DameioNaruto#GOKAI,Jungle,362,50.55%,Mid,161,47.83%,39.0
DrJackal#9921,Jungle,757,52.58%,Mid,38,31.58%,40.0
No Hwei#green,Jungle,235,41.70%,Mid,211,54.50%,40.0
Elvynya#Lucy,Bot,113,38.94%,Support,50,48.00%,41.0
it is what it is#na3,Bot,255,49.41%,Mid,69,49.28%,41.0
Serided#RoHan,Mid,170,45.29%,Bot,151,52.32%,41.0
Feeshstix#fish,Bot,379,48.28%,Jungle,166,47.59%,43.0
gilly#1111,Mid,155,47.10%,Top,101,51.49%,44.0
PeachyVibes#80085,Bot,403,47.39%,Mid,84,42.86%,45.0
Expertknifer#DADDY,Bot,278,45.68%,Support,165,48.48%,45.0
Brandis#0704,Jungle,45,55.56%,Support,41,58.54%,46.0
Bosco23#0323,Support,415,54.94%,Bot,129,52.71%,46.0
AngelOfPaper2#NA1,Mid,481,49.27%,Top,109,56.88%,47.0
AngelOfPaper3#GGS,Mid,237,47.68%,Top,193,45.60%,47.0
WanderingNomad#Sader,Jungle,71,50.70%,Bot,31,51.61%,48.0
Skymoare#poro,Mid,378,52.38%,Jungle,44,50.00%,48.0
PeachyBoop#xdd,Support,160,49.38%,Bot,69,33.33%,49.0
TahmTuah#6088,Jungle,78,48.72%,Top,76,44.74%,49.0
iggy#bored,Jungle,45,40.00%,Bot,21,52.38%,50.0
LanciferP#NA1,Jungle,117,41.88%,Top,62,41.94%,50.0
